County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Madera,Violent Crimes,1017.0,888.0,858.0,1024.0,891.0,896.0,830.0,578.0,1022.0,818.0
Madera,Property Crimes,3934.0,3380.0,3703.0,3705.0,3484.0,2969.0,2693.0,2132.0,2500.0,2305.0
Madera,Arson,11.0,24.0,15.0,17.0,32.0,27.0,24.0,26.0,30.0,38.0
Marin,Violent Crimes,491.0,454.0,518.0,475.0,463.0,528.0,516.0,623.0,348.0,610.0
Marin,Property Crimes,5012.0,4565.0,5286.0,4975.0,5006.0,4694.0,5443.0,5273.0,3807.0,4443.0
Marin,Arson,45.0,50.0,36.0,23.0,27.0,30.0,18.0,51.0,32.0,39.0
Mariposa,Violent Crimes,84.0,71.0,89.0,80.0,108.0,67.0,79.0,61.0,80.0,71.0
Mariposa,Property Crimes,306.0,276.0,283.0,241.0,290.0,211.0,182.0,200.0,242.0,229.0
Mariposa,Arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Mendocino,Violent Crimes,472.0,512.0,578.0,606.0,480.0,369.0,336.0,371.0,473.0,182.0
Mendocino,Property Crimes,1851.0,1546.0,1449.0,1444.0,1274.0,1199.0,1255.0,1412.0,1216.0,603.0
Mendocino,Arson,33.0,26.0,22.0,8.0,26.0,49.0,44.0,73.0,34.0,23.0
Merced,Violent Crimes,1555.0,1485.0,1668.0,1488.0,1557.0,1548.0,1520.0,1660.0,1833.0,1904.0
Merced,Property Crimes,8096.0,7126.0,7928.0,7658.0,7148.0,6761.0,6898.0,5951.0,7200.0,6590.0
Merced,Arson,125.0,63.0,113.0,117.0,132.0,100.0,89.0,157.0,191.0,213.0
Modoc,Violent Crimes,69.0,49.0,69.0,41.0,58.0,51.0,43.0,37.0,13.0,47.0
Modoc,Property Crimes,168.0,166.0,122.0,163.0,179.0,132.0,66.0,78.0,56.0,87.0
Modoc,Arson,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0
Mono,Violent Crimes,29.0,36.0,29.0,37.0,43.0,41.0,67.0,42.0,33.0,51.0
Mono,Property Crimes,221.0,184.0,185.0,162.0,211.0,133.0,187.0,161.0,107.0,153.0
Mono,Arson,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0
Monterey,Violent Crimes,1794.0,1833.0,1927.0,1822.0,1802.0,1750.0,1433.0,1480.0,2035.0,1835.0
Monterey,Property Crimes,10940.0,10577.0,9535.0,10396.0,10043.0,9030.0,7735.0,7728.0,7154.0,6427.0
Monterey,Arson,60.0,82.0,56.0,42.0,58.0,55.0,71.0,63.0,67.0,79.0
Napa,Violent Crimes,417.0,534.0,587.0,598.0,597.0,683.0,753.0,539.0,589.0,456.0
Napa,Property Crimes,2574.0,2385.0,2586.0,2524.0,2225.0,2033.0,2162.0,2306.0,1927.0,2042.0
Napa,Arson,21.0,3.0,9.0,11.0,6.0,32.0,50.0,14.0,12.0,18.0
Nevada,Violent Crimes,433.0,308.0,289.0,212.0,280.0,250.0,238.0,224.0,238.0,497.0
Nevada,Property Crimes,1788.0,1591.0,1715.0,1806.0,1765.0,1289.0,1191.0,1032.0,891.0,1020.0
Nevada,Arson,9.0,9.0,18.0,13.0,10.0,4.0,4.0,7.0,8.0,16.0
Orange,Violent Crimes,6042.0,6257.0,7220.0,7275.0,7627.0,7362.0,6797.0,7340.0,8144.0,8955.0
Orange,Property Crimes,61650.0,54754.0,68237.0,66054.0,65638.0,61590.0,59186.0,61066.0,58821.0,59875.0
Orange,Arson,268.0,221.0,237.0,269.0,328.0,300.0,263.0,349.0,360.0,335.0
Placer,Violent Crimes,660.0,596.0,675.0,622.0,703.0,688.0,597.0,638.0,740.0,1016.0
Placer,Property Crimes,7209.0,6643.0,7227.0,7080.0,6969.0,6324.0,6138.0,5841.0,5852.0,5662.0
Placer,Arson,46.0,35.0,24.0,33.0,53.0,38.0,41.0,31.0,58.0,51.0
Plumas,Violent Crimes,92.0,91.0,82.0,120.0,146.0,130.0,128.0,159.0,178.0,152.0
Plumas,Property Crimes,390.0,312.0,298.0,359.0,304.0,341.0,314.0,294.0,269.0,288.0
Plumas,Arson,2.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,4.0,6.0
