County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mendocino,Arson,33,26,22,8,26,49,44,73,34,23.0
Merced,Violent Crimes,"1,555","1,485","1,668","1,488","1,557","1,548","1,520","1,660","1,833","1,904"
Merced,Property Crimes,"8,096","7,126","7,928","7,658","7,148","6,761","6,898","5,951","7,200","6,590"
Merced,Arson,125,63,113,117,132,100,89,157,191,213
Modoc,Violent Crimes,69.0,49.0,69.0,41.0,58.0,51.0,43.0,37.0,13.0,47.0
Modoc,Property Crimes,168.0,166.0,122.0,163.0,179.0,132.0,66.0,78.0,56.0,87.0
Modoc,Arson,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0
Mono,Violent Crimes,29.0,36.0,29.0,37.0,43.0,41.0,67.0,42.0,33.0,51.0
Mono,Property Crimes,221.0,184.0,185.0,162.0,211.0,133.0,187.0,161.0,107.0,153.0
Mono,Arson,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0
Monterey,Violent Crimes,"1,794","1,833","1,927","1,822","1,802","1,750","1,433","1,480","2,035","1,835"
Monterey,Property Crimes,"10,940","10,577","9,535","10,396","10,043","9,030","7,735","7,728","7,154","6,427"
Monterey,Arson,60,82,56,42,58,55,71,63,67,79
Napa,Violent Crimes,417,534,587,598,597,683,753,539,589,456
Napa,Property Crimes,"2,574","2,385","2,586","2,524","2,225","2,033","2,162","2,306","1,927","2,042"
Napa,Arson,21,3,9,11,6,32,50,14,12,18
Nevada,Violent Crimes,433,308,289,212,280,250,238,224,238.0,497
Nevada,Property Crimes,"1,788","1,591","1,715","1,806","1,765","1,289","1,191","1,032",891.0,"1,020"
Nevada,Arson,9,9,18,13,10,4,4,7,8.0,16
Orange,Violent Crimes,"6,042","6,257","7,220","7,275","7,627","7,362","6,797","7,340","8,144","8,955"
Orange,Property Crimes,"61,650","54,754","68,237","66,054","65,638","61,590","59,186","61,066","58,821","59,875"
Orange,Arson,268,221,237,269,328,300,263,349,360,335
Placer,Violent Crimes,660,596,675,622,703,688,597,638,740,"1,016"
Placer,Property Crimes,"7,209","6,643","7,227","7,080","6,969","6,324","6,138","5,841","5,852","5,662"
Placer,Arson,46,35,24,33,53,38,41,31,58,51
